card1	card2
5_spades	J_diamonds
5_spades	Q_clubs
7_spades	5_clubs
7_spades	9_diamonds
J_clubs	2_spades
J_clubs	6_spades
J_diamonds	3_spades
J_diamonds	9_spades
Q_clubs	4_diamonds
Q_clubs	9_spades
5_clubs	4_spades
5_clubs	8_spades
9_diamonds	4_clubs
9_diamonds	4_spades
2_spades	3_diamonds
2_spades	9_clubs
6_spades	3_diamonds
6_spades	K_clubs
4_diamonds	4_clubs
3_spades	9_clubs
8_spades	K_clubs
3_spades	A_diamonds
3_spades	8_diamonds
9_spades	A_diamonds
9_spades	7_clubs
4_diamonds	7_clubs
4_diamonds	10_diamonds
4_spades	2_diamonds
4_spades	10_diamonds
8_spades	2_diamonds
8_spades	2_clubs
4_clubs	7_clubs
4_clubs	10_diamonds
3_diamonds	2_clubs
3_diamonds	8_diamonds
9_clubs	A_diamonds
9_clubs	8_diamonds
K_clubs	2_diamonds
K_clubs	2_clubs
A_diamonds	7_clubs
7_clubs	10_diamonds
10_diamonds	2_diamonds
2_diamonds	2_clubs
2_clubs	8_diamonds
8_diamonds	A_diamonds
A_diamonds	10_diamonds
7_clubs	2_diamonds
10_diamonds	2_clubs
2_diamonds	8_diamonds
2_clubs	A_diamonds
8_diamonds	7_clubs	
