round	url	name	order
mit	sneaky_fox	Sneaky Fox	10
mit	build_your_own_sudoku	Build Your Own Sudoku	20
mit	down_the_rabbit_hole_2	Down the Rabbit Hole 2: Super Magic Samurai Robot Ninja Police Force: Electric Boogaloo	30
mit	the_despair_of_cooking	The Despair of Cooking	40
mit	a_meta_puzzle	A Meta Puzzle	50
mit	how_puzzling_all_these_changes_are	How Puzzling All These Changes Are!	60
mit	zoinks	Zoinks!	70
mit	opposites_are_not_downbeats	Opposites are not Downbeats	80
mock_turtle	round_tripper	Round Tripper	10
knights	walk_across_some_dungeons	Walk Across Some Dungeons	10
